1.Mostrar los discos que tengan más de 5 canciones. Construir la expresión equivalente en álgebra relacional.

                                     título_disco                                     | año_publicación 
--------------------------------------------------------------------------------------+-----------------
 10 Years - Live In Iruña                                                             |            2014
 1000 Sünden...                                                                       |               1
 12 Supersuccessi                                                                     |            1996
 13 The Hard Way                                                                      |            2014
 1533 St. Philip Street                                                               |            2017
 20 Years: The Best of Jacob Moon                                                     |            2015
 4                                                                                    |            1981
 50 Gates                                                                             |            2022
 6 Track E.P.                                                                         |            1988
 77 One More Time Volume ll                                                           |            2014
 7th Symphony                                                                         |            2010
 A Charlie Brown Christmas                                                            |            1965
 A Conspiracy                                                                         |            1999
 A. Decap - Sound Non-Stop Dancing Volume 7                                           |               1
 A New Dope                                                                           |            1980
 A New High Fidelity Tripout                                                          |            2008
 A Romantic Dream                                                                     |            2022
 Absurd Reality / Flagging Water                                                      |            2014
 Abyssal                                                                              |            2019
 Adult Crash                                                                          |            1994
 Aggressor                                                                            |            2003
 Album                                                                                |            2014
 Alibi                                                                                |            1985
 Alive Again                                                                          |            2003
 All I Can Do                                                                         |            1979
 All That We Let In                                                                   |            2004
 Alma Tädin Illuusio                                                                  |            1983
 Amazing Grace                                                                        |            2003
 American Classics For Loving And Dancing Pleasure                                    |            1974
 Ancient History                                                                      |            2012
 And That's A Fact With My Hand Up!                                                   |            1971
 Annihilation                                                                         |            2002
 Arno En Concert (A La Française)                                                     |            2000
 As Slow As Apocalypse                                                                |            2010
 Astrology For Young Lovers                                                           |               1
 Attack                                                                               |            1992
 Axis Mundi                                                                           |            2017
 ¡Ay, Caridad!                                                                        |            1976
 Babylon By Bus                                                                       |            1978
 Back To The Drawing Room                                                             |            2015
 Backspace Unwind                                                                     |            2014
 Be A Man                                                                             |            1982
 Beggars' Hill                                                                        |            2010
 Behind The Magnolia Curtain / Blow Your Top                                          |            1987
 Best Of Me                                                                           |            1972
 Big Picture                                                                          |            2000
 Bigger Than Jesus                                                                    |            1989
 Birds Fly South                                                                      |            2002
 Bitter Isolation                                                                     |            2008
 Black 'N Dangerous                                                                   |            1996
 Blackbird                                                                            |            2013
 Blue Waters                                                                          |            1993
 Bluegrass Hootenanny                                                                 |            1964
 Blues Expert (Disc De Ascultare Și De Înveselire)                                    |               1
 Blues With Big Bill Broonzy · Sonny Terry · Brownie McGhee                           |            1965
 Bolomakoté                                                                           |            1992
 Breakout                                                                             |            1986
 Brivido Caldo                                                                        |            2000
 Brown Flag                                                                           |            2011
 Brujerizmo                                                                           |            2000
 Buddy Odor Is A Gas!                                                                 |            1979
 Burst                                                                                |            1988
 Bury Me At Sea                                                                       |            2008
 Calcutta!                                                                            |            1961
 Campfire Stories                                                                     |            2007
 Candlelight                                                                          |            2020
 Can't Get Enough                                                                     |            1974
 Cantos De Venezuela                                                                  |            1975
 Caribbean Dandee                                                                     |            2015
 Category 6                                                                           |            1998
